Edad,Sexo,Valor,Tipo
0 años,Hombres,165066,nacional
1 año,Hombres,184358,nacional
2 años,Hombres,192706,nacional
3 años,Hombres,207975,nacional
4 años,Hombres,219278,nacional
5 años,Hombres,225105,nacional
6 años,Hombres,229827,nacional
7 años,Hombres,226994,nacional
8 años,Hombres,241025,nacional
9 años,Hombres,247622,nacional
10 años,Hombres,253127,nacional
11 años,Hombres,258406,nacional
12 años,Hombres,269870,nacional
13 años,Hombres,259774,nacional
14 años,Hombres,258644,nacional
15 años,Hombres,252967,nacional
16 años,Hombres,252458,nacional
17 años,Hombres,248888,nacional
18 años,Hombres,244855,nacional
19 años,Hombres,246333,nacional
20 años,Hombres,250219,nacional
21 años,Hombres,244541,nacional
22 años,Hombres,240376,nacional
23 años,Hombres,244271,nacional
24 años,Hombres,242842,nacional
25 años,Hombres,246257,nacional
26 años,Hombres,251070,nacional
27 años,Hombres,260396,nacional
28 años,Hombres,267593,nacional
29 años,Hombres,267573,nacional
30 años,Hombres,270724,nacional
31 años,Hombres,274834,nacional
32 años,Hombres,279711,nacional
33 años,Hombres,283061,nacional
34 años,Hombres,288940,nacional
35 años,Hombres,298902,nacional
36 años,Hombres,310662,nacional
37 años,Hombres,321367,nacional
38 años,Hombres,340348,nacional
39 años,Hombres,356110,nacional
40 años,Hombres,374035,nacional
41 años,Hombres,384232,nacional
42 años,Hombres,402128,nacional
43 años,Hombres,408481,nacional
44 años,Hombres,414169,nacional
45 años,Hombres,411571,nacional
46 años,Hombres,407252,nacional
47 años,Hombres,396837,nacional
48 años,Hombres,393574,nacional
49 años,Hombres,385906,nacional
50 años,Hombres,379387,nacional
51 años,Hombres,372948,nacional
52 años,Hombres,368186,nacional
53 años,Hombres,368213,nacional
54 años,Hombres,358309,nacional
55 años,Hombres,352772,nacional
56 años,Hombres,355618,nacional
57 años,Hombres,337034,nacional
58 años,Hombres,323397,nacional
59 años,Hombres,313940,nacional
60 años,Hombres,313216,nacional
61 años,Hombres,302926,nacional
62 años,Hombres,293835,nacional
63 años,Hombres,284134,nacional
64 años,Hombres,262733,nacional
65 años,Hombres,253051,nacional
66 años,Hombres,238463,nacional
67 años,Hombres,237836,nacional
68 años,Hombres,234665,nacional
69 años,Hombres,216572,nacional
